9150 20 1995  1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 0 1
9151 20 2623  1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1
9152 20 2607  1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1
9153 20 2089  1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1
9154 20 2062  1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1
9155 20 2723  1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1
9156 20 2193  1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1
9157 20 2992  1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1
9158 20 2197  0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1
9159 20 2551  1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0
9160 20 2372  1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0
9161 20 2116  1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1
9162 20 2368  1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0
9163 20 2440  1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1
9164 20 1609  1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1
9165 20 249  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
9166 20 2184  1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 1 1
9167 20 1903  1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1
9168 20 2359  1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1
9169 20 2550  0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1
9170 20 2796  1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1
9171 20 1953  1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1
9172 20 2532  1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0
9173 20 2347  1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1
